x,y,z,inflammatory_signal,ecm
-210,-570,0,0,0
-190,-570,0,0,0
-170,-570,0,0,0
-150,-570,0,0,0
-130,-570,0,0,0
-110,-570,0,0,0
-90,-570,0,0,0
-70,-570,0,0,0
-50,-570,0,0,0
-30,-570,0,0,0
-10,-570,0,0,0
10,-570,0,0,0
30,-570,0,0,0
50,-570,0,0,0
70,-570,0,0,0
90,-570,0,0,0
110,-570,0,0,0
130,-570,0,0,0
150,-570,0,0,0
170,-570,0,0,0
190,-570,0,0,0
210,-570,0,0,0
230,-570,0,0,0
250,-570,0,0,0
270,-570,0,0,10
290,-570,0,0,10
310,-570,0,0,10
330,-570,0,0,10
350,-570,0,0,10
370,-570,0,0,10
390,-570,0,0,10
410,-570,0,0,10
430,-570,0,0,10
450,-570,0,0,10
470,-570,0,0,10
490,-570,0,0,10
510,-570,0,0,10
530,-570,0,0,10
550,-570,0,0,10
570,-570,0,0,10
590,-570,0,0,10
610,-570,0,0,10
630,-570,0,0,10
650,-570,0,0,10
670,-570,0,0,10
690,-570,0,0,10
710,-570,0,0,10
730,-570,0,0,10
750,-570,0,0,10
770,-570,0,0,10
790,-570,0,0,10
-790,-550,0,0,10
-770,-550,0,0,10
-750,-550,0,0,10
-730,-550,0,0,10
-710,-550,0,0,10
-690,-550,0,0,10
-670,-550,0,0,10
-650,-550,0,0,10
-630,-550,0,0,10
-610,-550,0,0,10
-590,-550,0,0,10
-570,-550,0,0,10
-550,-550,0,0,10
-530,-550,0,0,10
-510,-550,0,0,10
-490,-550,0,0,10
-470,-550,0,0,10
-450,-550,0,0,10
-430,-550,0,0,10
-410,-550,0,0,10
-390,-550,0,0,10
-370,-550,0,0,10
-350,-550,0,0,10
-330,-550,0,0,10
-310,-550,0,0,10
-290,-550,0,0,0
-270,-550,0,0,0
-250,-550,0,0,0
-230,-550,0,0,0
-210,-550,0,0,0
-190,-550,0,0,0
-170,-550,0,0,0
-150,-550,0,0,0
-130,-550,0,0,0
-110,-550,0,0,0
-90,-550,0,0,0
-70,-550,0,0,0
-50,-550,0,0,0
-30,-550,0,0,0
-10,-550,0,0,0
10,-550,0,0,0
30,-550,0,0,0
50,-550,0,0,0
70,-550,0,0,0
90,-550,0,0,0
110,-550,0,0,0
130,-550,0,0,0
150,-550,0,0,0
170,-550,0,0,0
190,-550,0,0,0
210,-550,0,0,0
230,-550,0,0,0
250,-550,0,0,0
270,-550,0,0,0
290,-550,0,0,0
310,-550,0,0,10
330,-550,0,0,10
350,-550,0,0,10
370,-550,0,0,10
390,-550,0,0,10
410,-550,0,0,10
430,-550,0,0,10
450,-550,0,0,10
470,-550,0,0,10
490,-550,0,0,10
510,-550,0,0,10
530,-550,0,0,10
550,-550,0,0,10
570,-550,0,0,10
590,-550,0,0,10
610,-550,0,0,10
630,-550,0,0,10
650,-550,0,0,10
670,-550,0,0,10
690,-550,0,0,10
710,-550,0,0,10
730,-550,0,0,10
750,-550,0,0,10
770,-550,0,0,10
790,-550,0,0,10
-790,-530,0,0,10
-770,-530,0,0,10
-750,-530,0,0,10
-730,-530,0,0,10
-710,-530,0,0,10
-690,-530,0,0,10
